gene_ID	Description/PFAM
Ga0573226_01_1751864_1752511	LolA
Ga0573226_01_1752627_1755377	FtsK_4TM
Ga0573226_01_1755374_1756597	Aminotran_1_2
Ga0573226_01_1756768_1757421	Lipase_GDSL_2
Ga0573226_01_1757649_1759178	EFhand_5
Ga0573226_01_1759224_1759487	DUF1674
Ga0573226_01_1759633_1760595	Peptidase_M48
Ga0573226_01_1760746_1762122	Methyltr_RsmBF
Ga0573226_01_1762252_1764012	Hepar_II_III
Ga0573226_01_1764107_1765723	AICARFT_IMPCHas
Ga0573226_01_1765944_1768055	Cache_3Cache_2
Ga0573226_01_1768527_1769906	ATG22
Ga0573226_01_1770153_1774964	GO:0003824
Ga0573226_01_1775082_1775648	CMD
Ga0573226_01_1775733_1776683	Semialdhyde_dh
Ga0573226_01_1776706_1777311	Aconitase_C
Ga0573226_01_1777529_1778437	Cupin_8
Ga0573226_01_1778552_1779424	Ferric_reduct
Ga0573226_01_1780081_1780587	cNMP_binding
Ga0573226_01_1780613_1781296	Response_reg
Ga0573226_01_1781491_1782030	YkuD
Ga0573226_01_1782070_1782555	
Ga0573226_01_1782773_1783660	Zn_peptidase
Ga0573226_01_1783734_1785632	Amino_oxidase
Ga0573226_01_1785951_1786862	GO:0003824
Ga0573226_01_1786859_1788127	GO:0003824
Ga0573226_01_1788372_1789691	SRP54
Ga0573226_01_1789716_1790333	ABATE
Ga0573226_01_1790480_1791097	Flavodoxin_2
Ga0573226_01_1791720_1792163	Cupin_5
Ga0573226_01_1792546_1793328	HAGH_C
Ga0573226_01_1793466_1794242	Methyltransf_11
Ga0573226_01_1794429_1795061	MetW
Ga0573226_01_1795063_1796265	GO:0000097
Ga0573226_01_1796446_1797312	CM_2
Ga0573226_01_1797309_1798442	Aminotran_1_2
Ga0573226_01_1798452_1799396	GO:0003674
Ga0573226_01_1799593_1800498	GO:0003824
Ga0573226_01_1800653_1801873	CMAS
Ga0573226_01_1801860_1802603	Transgly
Ga0573226_01_1802614_1802970	Ribosomal_L32p
Ga0573226_01_1803188_1803610	
Ga0573226_01_1803954_1804592	IspA
Ga0573226_01_1805725_1806453	adh_short_C2
Ga0573226_01_1806580_1807761	GO:0005622
Ga0573226_01_1808084_1808659	PHB_acc
Ga0573226_01_1808842_1809384	Acetyltransf_1
Ga0573226_01_1809545_1809976	Haem_degrading
Ga0573226_01_1810111_1811706	G_glu_transpept
Ga0573226_01_1811807_1813207	Cuoxidase
Ga0573226_01_1813771_1814130	
Ga0573226_01_1814123_1814686	Sigma70_r2
Ga0573226_01_1814939_1815274	
Ga0573226_01_1815573_1816202	RNase_T
Ga0573226_01_1816245_1816772	MAPEG
Ga0573226_01_1816892_1817251	GO:0003674
Ga0573226_01_1817278_1817475	GO:0003735
Ga0573226_01_1817736_1818353	GO:0003824
Ga0573226_01_1818452_1819348	HTH_1
Ga0573226_01_1819698_1820930	PAS_3
Ga0573226_01_1820982_1821974	ADH_N
Ga0573226_01_1822001_1822627	DUF1326
Ga0573226_01_1822638_1823429	DUF2182
Ga0573226_01_1823586_1824317	FCD
Ga0573226_01_1825041_1826282	EAL
Ga0573226_01_1826279_1829092	HATPase_c
Ga0573226_01_1829441_1830238	Nitroreductase
Ga0573226_01_1833438_1834811	ArmDNAbind_3
Ga0573226_01_1834880_1835179	DUF1778
Ga0573226_01_1836044_1839340	CHB_HEX_C_1
Ga0573226_01_1839354_1842266	DUF1156
Ga0573226_01_1842263_1843555	
Ga0573226_01_1843539_1847771	
Ga0573226_01_1847768_1848259	
Ga0573226_01_1848269_1851772	DUF3883
Ga0573226_01_1851798_1852661	WYL
Ga0573226_01_1852975_1855629	PDDEXK_1
Ga0573226_01_1855629_1859021	PDDEXK_1
Ga0573226_01_1859036_1862374	Helicase_C
Ga0573226_01_1862732_1863136	DUF2958
Ga0573226_01_1863255_1863743	RadC
Ga0573226_01_1863922_1866081	ParBc
Ga0573226_01_1866534_1866698	
Ga0573226_01_1866977_1871317	AAA_34
Ga0573226_01_1871317_1872351	Toprim_3
Ga0573226_01_1872675_1873610	DUF2493
Ga0573226_01_1873769_1874185	
Ga0573226_01_1874882_1875283	SSB
Ga0573226_01_1875592_1876632	
Ga0573226_01_1877582_1877830	HTH_3
Ga0573226_01_1878111_1878377	DUF2285
Ga0573226_01_1879005_1879268	DUF2285
Ga0573226_01_1879405_1879686	HTH_17
Ga0573226_01_1879698_1880579	RPA
Ga0573226_01_1880791_1881444	AAA_31
Ga0573226_01_1881441_1881692	
Ga0573226_01_1881689_1882204	DUF2840
Ga0573226_01_1882204_1882767	Peptidase_S26
Ga0573226_01_1882778_1883497	SLT
Ga0573226_01_1883741_1885480	DUF3363
Ga0573226_01_1885506_1887491	T4SSDNA_transf
Ga0573226_01_1887497_1887925	RHH_1
Ga0573226_01_1889547_1890491	T2SSE
Ga0573226_01_1890488_1890820	TrbC
Ga0573226_01_1890820_1891101	VirB3
Ga0573226_01_1891117_1893549	CagE_TrbE_VirB
Ga0573226_01_1893546_1894301	
Ga0573226_01_1894322_1894594	
Ga0573226_01_1894598_1895962	TrbL
Ga0573226_01_1895959_1896648	VirB8
Ga0573226_01_1896645_1897694	CagX
Ga0573226_01_1897691_1898857	TrbI
Ga0573226_01_1898860_1899123	DUF2274
Ga0573226_01_1899074_1899376	HTH_1
Ga0573226_01_1900967_1902175	Thiolase_C
Ga0573226_01_1902186_1902863	CoA_trans
Ga0573226_01_1902863_1903582	CoA_trans
Ga0573226_01_1903648_1904448	HTH_IclR
Ga0573226_01_1905403_1906092	HAD_2
Ga0573226_01_1906802_1907788	BPD_transp_2
Ga0573226_01_1907849_1908874	Peripla_BP_4
Ga0573226_01_1908943_1911072	BPD_transp_2
Ga0573226_01_1911065_1912144	Str_synth
Ga0573226_01_1912155_1913657	ABC_tran
Ga0573226_01_1913657_1914637	3HCDH
Ga0573226_01_1914830_1916320	GO:0003824
Ga0573226_01_1916444_1917754	DctM
Ga0573226_01_1918339_1919316	DctP
Ga0573226_01_1919433_1920506	ADH_N
Ga0573226_01_1921021_1922031	HTH_1
Ga0573226_01_1922207_1923265	ADSL_C
Ga0573226_01_1923341_1923940	Dioxygenase_C
Ga0573226_01_1923943_1924686	Dioxygenase_C
Ga0573226_01_1924683_1925063	CMD
Ga0573226_01_1925060_1925842	Abhydrolase_1
Ga0573226_01_1925918_1926829	HTH_1
Ga0573226_01_1927224_1928702	Aldedh
Ga0573226_01_1928866_1929720	QRPTase_C
Ga0573226_01_1929860_1931356	Hydant_A_N
Ga0573226_01_1931917_1933980	Hydantoinase_B
Ga0573226_01_1934052_1934555	DctQ
Ga0573226_01_1934552_1935862	DctM
Ga0573226_01_1935902_1937008	DctP
Ga0573226_01_1937172_1937849	Asp_Glu_race
Ga0573226_01_1937875_1939644	TPP_enzyme_C
Ga0573226_01_1939647_1940684	2Hacid_dh
Ga0573226_01_1940871_1941389	MarR
Ga0573226_01_1941859_1942848	NMT1_3
Ga0573226_01_1943062_1944912	DctM
Ga0573226_01_1945940_1947220	Rieske
Ga0573226_01_1947299_1948540	FMN_dh
Ga0573226_01_1948653_1949591	FAD_binding_6
Ga0573226_01_1949581_1950768	GFO_IDH_MocA
Ga0573226_01_1950765_1951757	NMT1
Ga0573226_01_1951771_1952214	
Ga0573226_01_1952242_1953168	EamA
Ga0573226_01_1953214_1953600	MarR
Ga0573226_01_1953772_1954137	Rieske
Ga0573226_01_1954124_1954423	
Ga0573226_01_1954445_1955671	Amidohydro_2
Ga0573226_01_1955963_1956634	HTH_IclR
Ga0573226_01_1957328_1958152	Usp
Ga0573226_01_1958644_1959117	
Ga0573226_01_1959791_1960819	DEDD_Tnp_IS110
Ga0573226_01_1961385_1962260	SNase
Ga0573226_01_1962238_1963758	LysM
Ga0573226_01_1964219_1965082	Sigma70_r2
Ga0573226_01_1965273_1965857	CarD_CdnL_TRCF
Ga0573226_01_1966314_1966646	DUF3470
Ga0573226_01_1966870_1967097	S4
Ga0573226_01_1967271_1970411	Helicase_C
Ga0573226_01_1971225_1974665	Biotin_carb_C
Ga0573226_01_1974867_1976606	Guanylate_cyc
Ga0573226_01_1976662_1977417	GATase
Ga0573226_01_1977511_1977990	TerB
Ga0573226_01_1978295_1979557	Peptidase_M75
Ga0573226_01_1979640_1981169	DHOR
Ga0573226_01_1981169_1982230	Peptidase_M75
Ga0573226_01_1982211_1983368	DUF1513
Ga0573226_01_1983508_1986396	AsmA
Ga0573226_01_1986919_1987497	GO:0003824
Ga0573226_01_1987490_1988635	GO:0008150
Ga0573226_01_1988632_1989381	DUF1045
Ga0573226_01_1989489_1990190	GO:0006793
Ga0573226_01_1990203_1990991	GO:0006793
Ga0573226_01_1990988_1991917	GO:0003824
Ga0573226_01_1991914_1993047	GO:0003824
Ga0573226_01_1993052_1993684	GO:0005488
Ga0573226_01_1993684_1994154	GO:0006793
Ga0573226_01_1994252_1995013	GntR
Ga0573226_01_1995288_1997420	AAA_19
Ga0573226_01_1997420_1998094	DUF2290
Ga0573226_01_1998607_1999611	Bac_luciferase
Ga0573226_01_2004543_2006099	
Ga0573226_01_2006096_2006890	ABC_tran
Ga0573226_01_2007245_2007622	SnoaL_2
Ga0573226_01_2007680_2008612	EamA
Ga0573226_01_2008725_2009660	HTH_1
Ga0573226_01_2009674_2010378	Methyltransf_11
Ga0573226_01_2010539_2011537	HupE_UreJ_2
Ga0573226_01_2011534_2012376	Rotamase_2
Ga0573226_01_2012416_2013402	Phenol_MetA_deg
Ga0573226_01_2013446_2015398	DUF3604
Ga0573226_01_2015674_2016519	SGL
Ga0573226_01_2016647_2017390	HTH_26
Ga0573226_01_2017392_2018957	CHAD
Ga0573226_01_2019080_2019574	Cupin_3
Ga0573226_01_2020108_2020419	Aldedh
Ga0573226_01_2020423_2021196	HpcH_HpaI
Ga0573226_01_2021321_2022745	Arabinose_Isome
Ga0573226_01_2022771_2025344	ABC_tran
Ga0573226_01_2025349_2026524	Peripla_BP_4
Ga0573226_01_2026700_2027581	AraC_binding
Ga0573226_01_2028624_2029202	SNARE_assoc
Ga0573226_01_2029217_2029741	DsbB
Ga0573226_01_2029738_2029992	
Ga0573226_01_2030323_2030760	Zincin_1
Ga0573226_01_2030804_2031343	Pyrophosphatase
Ga0573226_01_2031481_2032059	
Ga0573226_01_2032103_2032621	Acetyltransf_1
Ga0573226_01_2033186_2033575	DUF2794
Ga0573226_01_2033790_2034623	Bax1I
Ga0573226_01_2035684_2038266	FtsX
Ga0573226_01_2038263_2038970	GO:0003674
Ga0573226_01_2039094_2039723	Lipase_GDSL_2
Ga0573226_01_2039800_2040852	Aldo_ket_red
Ga0573226_01_2041031_2041567	LigT_PEase
Ga0573226_01_2041699_2042883	Glyco_trans_1_4
Ga0573226_01_2042935_2043738	Abhydrolase_6
Ga0573226_01_2043750_2044391	HhHGPD
Ga0573226_01_2044469_2045389	tRNAsynt_1c
Ga0573226_01_2045386_2046360	Mem_trans
Ga0573226_01_2046543_2047685	HATPase_c
Ga0573226_01_2047777_2048445	DSBA
Ga0573226_01_2048528_2049373	PAP2
Ga0573226_01_2049388_2049645	
Ga0573226_01_2049705_2050193	LMWPc
Ga0573226_01_2050358_2050657	Pterin_4a
Ga0573226_01_2050753_2050983	TusA
Ga0573226_01_2051183_2052073	SBP_bac_3
Ga0573226_01_2052116_2052667	DUF924
Ga0573226_01_2053109_2053447	PII
Ga0573226_01_2053468_2054802	Ammonium_transp
Ga0573226_01_2055124_2056344	Ammonium_transp
Ga0573226_01_2056419_2057102	HAD_2
Ga0573226_01_2057160_2057918	BPD_transp_1
Ga0573226_01_2058034_2058927	Cation_efflux
Ga0573226_01_2059156_2059929	DUF1223
Ga0573226_01_2060059_2060682	GO:0005623
Ga0573226_01_2060866_2061633	GO:0002048
Ga0573226_01_2061715_2062389	GO:0005623
Ga0573226_01_2062386_2063102	ABC_tran
Ga0573226_01_2063200_2063976	
Ga0573226_01_2065229_2066140	DFP
Ga0573226_01_2066154_2067020	
Ga0573226_01_2067137_2068057	RDD
Ga0573226_01_2068057_2069055	SpoIIM
Ga0573226_01_2069055_2070296	DUF58
Ga0573226_01_2070350_2071306	AAA_3
Ga0573226_01_2071296_2072621	
Ga0573226_01_2072618_2073394	DUF4129
Ga0573226_01_2073826_2076618	Aconitase
Ga0573226_01_2077073_2079748	GO:0003676
Ga0573226_01_2081814_2081957	GO:0003676
Ga0573226_01_2082274_2082663	Glyoxalase
Ga0573226_01_2082996_2083592	
Ga0573226_01_2083930_2084397	QueF
Ga0573226_01_2084631_2085359	GO:0003674
Ga0573226_01_2085356_2085739	GO:0003824
Ga0573226_01_2085732_2086421	QueC
Ga0573226_01_2086610_2087029	Cys_rich_FGFR
Ga0573226_01_2087048_2087347	
Ga0573226_01_2087490_2088227	DUF429
Ga0573226_01_2088220_2089116	Phos_pyr_kin
Ga0573226_01_2089138_2090397	GO:0003824
Ga0573226_01_2090621_2091388	
Ga0573226_01_2091509_2092396	
Ga0573226_01_2092699_2093481	adh_short_C2
Ga0573226_01_2093525_2094538	Patatin
Ga0573226_01_2094943_2095773	Pentapeptide
Ga0573226_01_2095899_2096702	MipA
Ga0573226_01_2096927_2097223	YGGT
Ga0573226_01_2097387_2097578	Trm112p
Ga0573226_01_2097607_2098284	LON_substr_bdg
Ga0573226_01_2098367_2099353	TPR_19
Ga0573226_01_2099493_2100014	tRNA_edit
Ga0573226_01_2100773_2101870	Fic
Ga0573226_01_2101905_2104262	
Ga0573226_01_2104285_2105463	HTH_28
Ga0573226_01_2105966_2107009	UT
Ga0573226_01_2107020_2108087	GFO_IDH_MocA
Ga0573226_01_2108176_2108961	ThuA
Ga0573226_01_2109091_2109558	
Ga0573226_01_2109551_2110117	TetR_N
Ga0573226_01_2110143_2111888	G_glu_transpept
Ga0573226_01_2112079_2112438	GO:0005623
Ga0573226_01_2112563_2113534	Exo_endo_phos
Ga0573226_01_2113624_2114025	SECC
Ga0573226_01_2114490_2115917	Polysacc_synt
Ga0573226_01_2115907_2117037	Acetyltransf_6
Ga0573226_01_2117044_2118672	AMPbinding
Ga0573226_01_2118750_2119673	Phage_int_SAM_1
Ga0573226_01_2119975_2120622	GO:0003674
Ga0573226_01_2120642_2121790	DHQ_synthase
Ga0573226_01_2121787_2123130	GO:0005623
Ga0573226_01_2123597_2123896	GO:0008150
Ga0573226_01_2124075_2124665	DnaJ
Ga0573226_01_2124730_2125716	AAA_5
Ga0573226_01_2125724_2127631	CobT
Ga0573226_01_2127712_2128686	Phytaselike
Ga0573226_01_2129448_2130134	GO:0005623
Ga0573226_01_2130152_2130448	GO:0003735
Ga0573226_01_2130791_2131624	DUF3108
Ga0573226_01_2131838_2132797	ACCA
Ga0573226_01_2133107_2134366	YkuD
Ga0573226_01_2134729_2135781	GO:0003824
Ga0573226_01_2135962_2136861	Rhodanese
Ga0573226_01_2137201_2139024	GO:0005575
Ga0573226_01_2139260_2139688	MarR
Ga0573226_01_2139685_2140902	MFS_1
Ga0573226_01_2140950_2142524	PhoD
Ga0573226_01_2142715_2143548	Pterin_bind
Ga0573226_01_2143549_2144091	HPPK
Ga0573226_01_2144202_2145614	Sulfatase
Ga0573226_01_2145601_2146284	
Ga0573226_01_2146296_2147516	GO:0000053
Ga0573226_01_2148337_2148957	TetR_C_7
Ga0573226_01_2149139_2149600	Fer2
Ga0573226_01_2149604_2151790	Ald_Xan_dh_C
Ga0573226_01_2151878_2153101	GO:0001510
Ga0573226_01_2153340_2153846	IalB
Ga0573226_01_2154224_2154790	Sigma70_r2
Ga0573226_01_2154780_2155499	Peptidase_M15
Ga0573226_01_2155515_2156855	Peptidase_C14
Ga0573226_01_2156918_2157463	SpoU_methylase
Ga0573226_01_2157624_2158598	ADH_N
Ga0573226_01_2158786_2159595	Exo_endo_phos
Ga0573226_01_2159665_2160858	Na_H_Exchanger
Ga0573226_01_2161044_2161775	Glyco_hydro_25
Ga0573226_01_2161792_2162283	
Ga0573226_01_2162464_2162895	SH3_3
Ga0573226_01_2163190_2163705	SH3_3
Ga0573226_01_2163719_2164255	CAP
Ga0573226_01_2164469_2165764	ADH_N
Ga0573226_01_2166046_2168043	B12binding
Ga0573226_01_2168182_2168559	
Ga0573226_01_2168725_2169720	Sbt_1
Ga0573226_01_2169725_2170036	DUF190
Ga0573226_01_2170177_2170815	Pro_CA
Ga0573226_01_2170838_2171353	DinB
Ga0573226_01_2171772_2172866	HD
Ga0573226_01_2173160_2174887	Cache_3Cache_2
Ga0573226_01_2175007_2175900	EamA
Ga0573226_01_2175913_2176644	TENA_THI4
Ga0573226_01_2176830_2177933	Fer4_12
Ga0573226_01_2177930_2178238	PqqD
Ga0573226_01_2178243_2179082	PqqD
Ga0573226_01_2179079_2180017	Lactamase_B_2
Ga0573226_01_2180554_2181588	Semialdhyde_dh
Ga0573226_01_2182050_2182793	Asp_Glu_race
Ga0573226_01_2182811_2183953	Creatinase_N
Ga0573226_01_2183946_2185028	GO:0003824
Ga0573226_01_2185284_2186483	MFS_1
Ga0573226_01_2186724_2188937	Phytaselike
Ga0573226_01_2189046_2190677	SBP_bac_5
Ga0573226_01_2190862_2191359	Ni_hydr_CYTB
Ga0573226_01_2191359_2191688	ABM
Ga0573226_01_2191836_2192285	MarR
Ga0573226_01_2192282_2192713	SNARE_assoc
Ga0573226_01_2192741_2193139	Glyoxalase
Ga0573226_01_2193176_2193595	
Ga0573226_01_2193753_2194865	GO:0003824
Ga0573226_01_2196203_2196976	TauE
Ga0573226_01_2196978_2197772	AlbA_2
Ga0573226_01_2198233_2199405	M20_dimer
Ga0573226_01_2199558_2200217	GO:0003824
Ga0573226_01_2200219_2200644	EVE
Ga0573226_01_2200645_2200935	GO:0005622
Ga0573226_01_2201079_2202521	MCPsignal
Ga0573226_01_2202893_2203900	GO:0003824
Ga0573226_01_2203887_2204363	NUDIX
Ga0573226_01_2204383_2204886	NUDIX
Ga0573226_01_2204973_2206079	GO:0002949
Ga0573226_01_2206174_2207100	Porphobil_deam
Ga0573226_01_2207108_2207824	HEM4
Ga0573226_01_2207945_2209873	Mitofilin
Ga0573226_01_2209951_2211858	HemY_N
Ga0573226_01_2212473_2213003	
Ga0573226_01_2214392_2215213	Response_reg
Ga0573226_01_2215412_2216242	
Ga0573226_01_2216446_2217234	ECH_1
Ga0573226_01_2217231_2218091	HMGLlike
Ga0573226_01_2218198_2219826	AMPbinding
Ga0573226_01_2219813_2221807	Biotin_carb_C
Ga0573226_01_2221807_2222322	Macro
Ga0573226_01_2222322_2222744	ASCH
Ga0573226_01_2222748_2224355	Carboxyl_trans
Ga0573226_01_2224352_2224999	TetR_C_4
Ga0573226_01_2225183_2226091	GO:0003824
Ga0573226_01_2226215_2227222	GFO_IDH_MocA
Ga0573226_01_2227376_2228221	Lactamase_B
Ga0573226_01_2228319_2229242	DJ1_PfpI
Ga0573226_01_2229416_2229838	ROS_MUCR
Ga0573226_01_2230541_2231668	Porin_2
Ga0573226_01_2232468_2233748	GGDEF
Ga0573226_01_2233770_2236493	CHASE3
Ga0573226_01_2236530_2236898	Response_reg
Ga0573226_01_2237017_2237964	HTH_1
Ga0573226_01_2238299_2238706	GO:0003676
Ga0573226_01_2239151_2239606	
Ga0573226_01_2239626_2240000	DUF1232
Ga0573226_01_2240107_2240355	
Ga0573226_01_2240776_2241807	Na_Ca_ex
Ga0573226_01_2241895_2242347	Host_attach
Ga0573226_01_2242669_2242962	DUF4399
Ga0573226_01_2242922_2244610	AcylCoA_dh_1
Ga0573226_01_2244767_2245678	Virul_fac_BrkB
Ga0573226_01_2245689_2246555	EamA
Ga0573226_01_2246669_2248699	HAMP
Ga0573226_01_2248878_2250062	Pyr_redox_2
Ga0573226_01_2250230_2251027	Abhydrolase_1
Ga0573226_01_2251102_2252367	Guanylate_cyc
Ga0573226_01_2252360_2253880	PMT_2
Ga0573226_01_2253900_2254370	GtrA
Ga0573226_01_2254321_2255364	Glycos_transf_2
Ga0573226_01_2255594_2257372	B12binding
Ga0573226_01_2258306_2261074	GO:0002790
Ga0573226_01_2261344_2262222	Rotamase
Ga0573226_01_2262360_2263601	GO:0003824
Ga0573226_01_2263702_2264103	GO:0003824
Ga0573226_01_2264430_2265317	Methyltransf_11
Ga0573226_01_2265481_2266266	Pribosyltran
Ga0573226_01_2266378_2266635	GO:0003824
Ga0573226_01_2266699_2267553	CN_hydrolase
Ga0573226_01_2267550_2268071	DUF1178
Ga0573226_01_2268167_2268697	
Ga0573226_01_2268917_2269612	Abhydrolase_1
Ga0573226_01_2269612_2270373	Methyltransf_11
Ga0573226_01_2270577_2271827	GO:0003824
Ga0573226_01_2271901_2274168	GAF
Ga0573226_01_2274223_2275296	PCRF
Ga0573226_01_2275300_2276166	GO:0003824
Ga0573226_01_2276558_2277247	DUF4167
Ga0573226_01_2277525_2280122	AAA
Ga0573226_01_2280197_2282173	Peptidase_M23
Ga0573226_01_2290398_2291201	HTH_21
Ga0573226_01_2291234_2291500	HTH_Tnp_1
Ga0573226_01_2291545_2292522	rve
Ga0573226_01_2292519_2293103	rve
Ga0573226_01_2293350_2294051	HTH_Crp_2
Ga0573226_01_2294448_2296229	Guanylate_cyc
Ga0573226_01_2296266_2297516	PAP2
Ga0573226_01_2300569_2301189	GO:0003796
Ga0573226_01_2301218_2301568	
Ga0573226_01_2311249_2312580	Biotin_lipoyl_2
Ga0573226_01_2312623_2314500	GO:0005623
Ga0573226_01_2314749_2316212	HAMP
Ga0573226_01_2316227_2316949	Response_reg
Ga0573226_01_2317825_2319540	ILVD_EDD
Ga0573226_01_2319533_2320990	Aldedh
Ga0573226_01_2321010_2322875	TPP_enzyme_C
Ga0573226_01_2322875_2323954	GFO_IDH_MocA
Ga0573226_01_2323960_2324691	HTH_IclR
Ga0573226_01_2324921_2326192	SBP_bac_1
Ga0573226_01_2326255_2327136	BPD_transp_1
Ga0573226_01_2327129_2327986	BPD_transp_1
Ga0573226_01_2327990_2329036	ABC_tran
Ga0573226_01_2329234_2331549	DUF3772
Ga0573226_01_2331839_2332324	HATPase_c_2
Ga0573226_01_2332415_2332732	STAS
Ga0573226_01_2332897_2333880	
Ga0573226_01_2333877_2334932	Sulfotransfer_3
Ga0573226_01_2335023_2336288	Amino_oxidase
Ga0573226_01_2336295_2337149	SQS_PSY
Ga0573226_01_2337146_2337964	SQS_PSY
Ga0573226_01_2338104_2339288	DUF2236
Ga0573226_01_2339485_2341257	GMC_oxred_C
Ga0573226_01_2341443_2342741	DAO
Ga0573226_01_2342751_2344373	GMC_oxred_C
Ga0573226_01_2344382_2345242	BPD_transp_1
Ga0573226_01_2345257_2346126	BPD_transp_1
Ga0573226_01_2346126_2347250	ABC_tran
Ga0573226_01_2347406_2348482	SBP_bac_8
Ga0573226_01_2348592_2350079	Aminotran_1_2
Ga0573226_01_2350475_2351581	MR_MLE_C
Ga0573226_01_2351584_2353077	Aldedh
Ga0573226_01_2353256_2354812	Peptidase_C14
Ga0573226_01_2355065_2355748	
Ga0573226_01_2356259_2357668	Na_sulph_symp
Ga0573226_01_2357696_2358400	Response_reg
Ga0573226_01_2358397_2359857	7TMRDISMED2
Ga0573226_01_2360403_2367203	
Ga0573226_01_2367467_2372590	Glug
Ga0573226_01_2372593_2374365	POTRA_2
Ga0573226_01_2374489_2375148	FCD
Ga0573226_01_2375414_2376214	SBP_bac_3
Ga0573226_01_2376464_2377126	BPD_transp_1
Ga0573226_01_2377139_2377801	BPD_transp_1
Ga0573226_01_2377798_2378520	ABC_tran
Ga0573226_01_2378611_2379570	DHDPS
Ga0573226_01_2379561_2380493	GO:0003824
Ga0573226_01_2380509_2381939	Aldedh
Ga0573226_01_2381996_2383249	DAO
Ga0573226_01_2383262_2384365	GO:0001101
Ga0573226_01_2384374_2385399	GO:0003824
Ga0573226_01_2385681_2386535	F420_oxidored
Ga0573226_01_2386721_2387149	4HFCP_synth
Ga0573226_01_2387230_2388114	Pterin_bind
Ga0573226_01_2388150_2388905	adh_short
Ga0573226_01_2395521_2396168	
Ga0573226_01_2396568_2397773	AcylCoA_dh_1
Ga0573226_01_2398271_2399113	FAA_hydrolase
Ga0573226_01_2399149_2399682	FMN_red
Ga0573226_01_2399699_2401009	DctM
Ga0573226_01_2401006_2401572	DctQ
Ga0573226_01_2401582_2402637	DctP
Ga0573226_01_2402683_2403828	CoA_transf_3
Ga0573226_01_2403832_2404644	Citrate_synt
Ga0573226_01_2404771_2405634	Dioxygenase_C
Ga0573226_01_2405637_2406440	HTH_IclR
Ga0573226_01_2406466_2407965	Amidohydro_1
Ga0573226_01_2408170_2409192	Meth_synt_2
Ga0573226_01_2409697_2410776	GO:0005623
Ga0573226_01_2410776_2412575	GO:0005623
Ga0573226_01_2412591_2413154	HupE_UreJ
Ga0573226_01_2413164_2413919	GO:0005623
Ga0573226_01_2414270_2414962	GO:0003824
Ga0573226_01_2414962_2415312	HupF_HypC
Ga0573226_01_2415281_2415715	HyaE
Ga0573226_01_2415739_2416608	HupH_C
Ga0573226_01_2416605_2416829	Rubredoxin
Ga0573226_01_2416831_2417421	NiFehyd_HybE
Ga0573226_01_2418517_2418858	HypA
Ga0573226_01_2418858_2419751	cobW
Ga0573226_01_2419761_2420015	HupF_HypC
Ga0573226_01_2420012_2421169	HypD
Ga0573226_01_2421166_2422203	AIRS
Ga0573226_01_2422206_2423900	ECH_1
Ga0573226_01_2423897_2425390	HTH_8
Ga0573226_01_2425394_2426764	HATPase_c
Ga0573226_01_2426745_2427773	NiFe_hyd_SSU_C
Ga0573226_01_2427770_2429218	NiFeSe_Hases
Ga0573226_01_2429220_2431559	Acylphosphatase
Ga0573226_01_2431597_2432142	HTH_Crp_2
Ga0573226_01_2432199_2432774	
Ga0573226_01_2432952_2434265	AA_permease_2
Ga0573226_01_2434385_2434585	ArsP_1
Ga0573226_01_2434749_2437256	E1E2_ATPase
Ga0573226_01_2437268_2437660	MerR
Ga0573226_01_2437660_2438079	Cytochrom_C
Ga0573226_01_2438493_2439107	Cytochrom_C_2
Ga0573226_01_2439111_2440001	Cytochrom_C
Ga0573226_01_2440006_2441400	Cuoxidase
Ga0573226_01_2441889_2442455	YkuD
Ga0573226_01_2442452_2442757	DUF2933
Ga0573226_01_2442750_2443217	DUF411
Ga0573226_01_2443225_2443710	Cytochrom_C
Ga0573226_01_2443707_2444450	DSBA
Ga0573226_01_2444529_2446007	Cuoxidase
Ga0573226_01_2447459_2449648	CusF_Ec
Ga0573226_01_2449648_2452827	ACR_tran
Ga0573226_01_2452868_2453209	CusF_Ec
Ga0573226_01_2453335_2454669	MFS_1
Ga0573226_01_2454666_2455379	NicO
Ga0573226_01_2455765_2456334	GFA
Ga0573226_01_2456451_2457245	ABC2_membrane
Ga0573226_01_2457242_2457973	ABC_tran
Ga0573226_01_2458011_2458442	
Ga0573226_01_2458439_2459089	ABC_tran
Ga0573226_01_2459086_2459832	BPD_transp_1
Ga0573226_01_2459839_2460897	NMT1
Ga0573226_01_2460998_2462014	Cytochrom_D1
Ga0573226_01_2462024_2463247	Peripla_BP_6
Ga0573226_01_2463363_2463863	DUF3280
Ga0573226_01_2463871_2464416	Polyketide_cyc2
Ga0573226_01_2464385_2465407	Cytochrom_D1
Ga0573226_01_2465380_2466225	SoxY
Ga0573226_01_2466262_2466879	Rhodanese
Ga0573226_01_2466876_2467817	SBP_bac_3
Ga0573226_01_2467798_2468325	Cytochrome_CBB3
Ga0573226_01_2468484_2470283	PQQ
Ga0573226_01_2470604_2471488	Esterase
Ga0573226_01_2471498_2472610	ADH_N
Ga0573226_01_2472774_2473409	
Ga0573226_01_2473592_2474629	Lactamase_B
Ga0573226_01_2474751_2475626	SoxY
Ga0573226_01_2475639_2476007	
Ga0573226_01_2476004_2476702	
Ga0573226_01_2476840_2479086	HATPase_c
Ga0573226_01_2479083_2480252	FIST
